web-scraper-order,web-scraper-start-url,Titre,Etat_Clim,Adresse,Prix,url,url-href,url_image-src
"1738158904-1","https://www.expat-dakar.com/climatisation","","","","","","",""
"1738158925-2","https://www.expat-dakar.com/climatisation","SPLIT/CLIMATISEUR ROCH 9000BTU 1.25CV R410","Neuf","Plateau,
                                                                                Dakar","159 000 F Cfa","SPLIT/CLIMATISEUR ROCH 9000BTU 1.25CV R410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        19. déc. '24, 10:23
                                    
                    159 000 F Cfa
                        
                        783860578","https://www.expat-dakar.com/annonce/splitclimatiseur-roch-9000btu-125cv-r410-5475378","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0bda894fa12d55bc65d2d0cfb3af285e/-/horizon-files-prod/ed/picture/qm55jgw2/6f93ab662a20ed50b21c8e00288f52b1d100666f.jpg"
"1738158945-3","https://www.expat-dakar.com/climatisation","SPLIT ASTECH 1.5CV 12000BTU R410","Neuf","Plateau,
                                                                                Dakar","188 000 F Cfa","SPLIT ASTECH 1.5CV 12000BTU R410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        lundi, 14:35
                                    
                    188 000 F Cfa
                        
                        770723466","https://www.expat-dakar.com/annonce/split-astech-15cv-12000btu-r410-5475919","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fc586fbf80776a4de20ec575adb8fc59/-/horizon-files-prod/ed/picture/q566zpeg/7844ae9b77c5ae6ecb57b1cb27108c1c500d9432.jpg"
"1738158966-4","https://www.expat-dakar.com/climatisation","SPLIT ROCH 9000BTU/1.25CV R410","Neuf","Plateau,
                                                                                Dakar","144 000 F Cfa","SPLIT ROCH 9000BTU/1.25CV R410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        11. janv., 16:18
                                    
                    144 000 F Cfa
                        
                        783050985","https://www.expat-dakar.com/annonce/split-roch-9000btu125cv-r410-5480388","https://i.roamcdn.net/hz/ed/listing-thumb-543w/98dbc1e2412d17a85f954860b8992221/-/horizon-files-prod/ed/picture/q6xxvw64/ef95e0222134e1c4d87f729d4397d924edbc8d5b.jpg"
"1738158986-5","https://www.expat-dakar.com/climatisation","SPLIT 2.5CV/ 18000BTU ROCH R410","Neuf","Plateau,
                                                                                Dakar","239 000 F Cfa","SPLIT 2.5CV/ 18000BTU ROCH R410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 14:14
                                    
                    239 000 F Cfa
                        
                        774714823","https://www.expat-dakar.com/annonce/split-25cv-18000btu-roch-r410-5481156","https://i.roamcdn.net/hz/ed/listing-thumb-543w/da6b8f07d7bcd694a52855378937afe6/-/horizon-files-prod/ed/picture/qm55jw7d/e9dbfa8ad5264a1f81c55fed210afc2f228c2553.jpg"
"1738159007-6","https://www.expat-dakar.com/climatisation","SPLIT SKAGGU 2.5CV 18000BTU R410","Neuf","Plateau,
                                                                                Dakar","239 000 F Cfa","SPLIT SKAGGU 2.5CV 18000BTU R410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 14:14
                                    
                    239 000 F Cfa
                        
                        774714823","https://www.expat-dakar.com/annonce/split-skaggu-25cv-18000btu-r410-5492110","https://i.roamcdn.net/hz/ed/listing-thumb-543w/67583fe8f53b2419ce2378e02c0fcb8c/-/horizon-files-prod/ed/picture/qrzz7e6j/6619b8de1c1b868b8a813aaef338f1531cd62df0.jpg"
"1738159027-7","https://www.expat-dakar.com/climatisation","SPLIT ICONA 1.5CV 12000BTU R140","Neuf","Plateau,
                                                                                Dakar","179 000 F Cfa","SPLIT ICONA 1.5CV 12000BTU R140
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 14:13
                                    
                    179 000 F Cfa
                        
                        774714823","https://www.expat-dakar.com/annonce/split-icona-15cv-12000btu-r140-5492117","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6242d28aa83f23320e29bf95e5bc95b3/-/horizon-files-prod/ed/picture/q2jjg68v/175d2eb462af9798cf5f466f92c4e30096b1d129.jpg"
"1738159048-8","https://www.expat-dakar.com/climatisation","SPLIT ASTECH 18000BTU 2CV 18RB410","Neuf","Plateau,
                                                                                Dakar","239 000 F Cfa","SPLIT ASTECH 18000BTU 2CV 18RB410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 14:13
                                    
                    239 000 F Cfa
                        
                        774714823","https://www.expat-dakar.com/annonce/split-astech-18000btu-2cv-18rb410-5492122","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c100c15b37ada9dcf69af576e432c9e9/-/horizon-files-prod/ed/picture/q6xx59rg/4409a418e506bae2fa8e574569196ca987f44a06.jpg"
"1738159068-9","https://www.expat-dakar.com/climatisation","SPLIT CAC 18000BTU 2.5CV GAZ 410","Neuf","Plateau,
                                                                                Dakar","229 000 F Cfa","SPLIT CAC 18000BTU 2.5CV GAZ 410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        11. janv., 16:17
                                    
                    229 000 F Cfa
                        
                        783050985","https://www.expat-dakar.com/annonce/split-cac-18000btu-25cv-gaz-410-5492132","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e96e5706cac4db7b54680f7fac7e394e/-/horizon-files-prod/ed/picture/qrzz7ejj/4dfdf262cf12e9abe802d9eb67150dba6d07eeb5.jpg"
"1738159088-10","https://www.expat-dakar.com/climatisation","SLIT ELACTRON 18000BTU 2.5CV GAZ 410","Neuf","Plateau,
                                                                                Dakar","239 000 F Cfa","SLIT ELACTRON 18000BTU 2.5CV GAZ 410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        11. janv., 16:16
                                    
                    239 000 F Cfa
                        
                        783050985","https://www.expat-dakar.com/annonce/slit-elactron-18000btu-25cv-gaz-410-5492134","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9c34df371747a4ac193536e4fc447de5/-/horizon-files-prod/ed/picture/qm55nejd/7fe04a2b1d34f5d76561e630c64050637d22d6d3.jpg"
