web-scraper-order,web-scraper-start-url,Titre,Etat_machine,Adresse,Prix,url,url-href,url_image-src
"1738237993-1","https://www.expat-dakar.com/machines-a-laver","","","","","","",""
"1738238003-2","https://www.expat-dakar.com/machines-a-laver","SECHE LINGE SHARP -  7KG - OUVERTURE HUBLOT  15 P","Neuf","Ouakam,
                                                                                Dakar","199 000 F Cfa","SECHE LINGE SHARP -  7KG - OUVERTURE HUBLOT  15 P
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        mardi, 13:01
                                    
                    199 000 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/seche-linge-sharp-7kg-ouverture-hublot-15-p-2766985","https://i.roamcdn.net/hz/ed/listing-thumb-543w/00a8aa67e70d642353c9cf98115711a3/-/horizon-files-prod/ed/picture/migrated/q27n48v/3f2f611b9d68be9325301bc83a7babbc9ba56f1a.jpg"
"1738238023-3","https://www.expat-dakar.com/machines-a-laver","LAVE-LINGE SAMSUNG - ADDWASH™ 9KG - WW90T654D","Neuf","Ouakam,
                                                                                Dakar","499 000 F Cfa","LAVE-LINGE SAMSUNG - ADDWASH™ 9KG - WW90T654D
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        jeudi, 12:20
                                    
                    499 000 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/lave-linge-samsung-addwash-9kg-ww90t654d-4089816","https://i.roamcdn.net/hz/ed/listing-thumb-543w/de11caeb85a5c55fe0d7cafad2b148b9/-/horizon-files-prod/ed/picture/qpe2wp4/449fca5fed6a5118813579c9f91fb070e71ca4eb.jpg"
"1738238043-4","https://www.expat-dakar.com/machines-a-laver","MACHINE A LAVER LG 2 EN 1 20KG F0L2CRV2T2","Neuf","Plateau,
                                                                                Dakar","1 100 000 F Cfa","MACHINE A LAVER LG 2 EN 1 20KG F0L2CRV2T2
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        samedi, 10:53
                                    
                    1 100 000 F Cfa
                        
                        783181818
                    
                        783088888","https://www.expat-dakar.com/annonce/machine-a-laver-lg-2-en-1-20kg-f0l2crv2t2-4893853","https://i.roamcdn.net/hz/ed/listing-thumb-543w/971dafd21ddd0ed89958853e4745c059/-/horizon-files-prod/ed/picture/q4xz25z/00e9d28ba0e1b9c41cadc46387efd9b22d485f8d.png"
"1738238063-5","https://www.expat-dakar.com/machines-a-laver","MACHINE A LAVER LG 15KG / 8KG SECHANTE","Neuf","Plateau,
                                                                                Dakar","875 000 F Cfa","MACHINE A LAVER LG 15KG / 8KG SECHANTE
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        samedi, 10:53
                                    
                    875 000 F Cfa
                        
                        783181818
                    
                        783088888","https://www.expat-dakar.com/annonce/machine-a-laver-lg-15kg-8kg-sechante-4893902","https://i.roamcdn.net/hz/ed/listing-thumb-543w/49f574b600fe5e8187a1df25eeab98d5/-/horizon-files-prod/ed/picture/qv270kp/aa59e557c7cbf1a8328719042d7e8de61c7a7246.jpg"
"1738238083-6","https://www.expat-dakar.com/machines-a-laver","MACHINE A LAVER - CANDY – 8 KG – SMART TOUCH – A+++","Neuf","Ouakam,
                                                                                Dakar","289 900 F Cfa","MACHINE A LAVER - CANDY – 8 KG – SMART TOUCH – A+++
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        mardi, 11:37
                                    
                    289 900 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/machine-a-laver-candy-8-kg-smart-touch-a-5172480","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c49431417f58a9a5d3049cd2c20e2de0/-/horizon-files-prod/ed/picture/qkrmrzwz/6f6d52b0f1bfce1997d97ff249d87b13a96493ea.jpg"
"1738238104-7","https://www.expat-dakar.com/machines-a-laver","MACHINE A LAVER - HISENSE - 16 KG - TOP- LOAD","Neuf","Ouakam,
                                                                                Dakar","359 000 F Cfa","MACHINE A LAVER - HISENSE - 16 KG - TOP- LOAD
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        mardi, 11:36
                                    
                    359 000 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/machine-a-laver-hisense-16-kg-top-load-5204162","https://i.roamcdn.net/hz/ed/listing-thumb-543w/463a9697471c5ea71a3b4484ef0aedb6/-/horizon-files-prod/ed/picture/qder7g28/3b9dd561fabfd3865fc4c9599226b159b33c1a0d.jpg"
"1738238123-8","https://www.expat-dakar.com/machines-a-laver","MACHINE A LAVER HISENSE 10.5KG TOP- LOAD","Neuf","Ouakam,
                                                                                Dakar","299 000 F Cfa","MACHINE A LAVER HISENSE 10.5KG TOP- LOAD
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        mardi, 11:35
                                    
                    299 000 F Cfa
                        
                        775506161
                    
                        776571934
                    
                        775506161","https://www.expat-dakar.com/annonce/machine-a-laver-hisense-105kg-top-load-5204174","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c06a447353cc9b25dedc2adaf7733b4e/-/horizon-files-prod/ed/picture/q8v047g9/c6c9efa7401bd5b61a6c20b3b5dbab2c8ddf6398.jpg"
"1738238143-9","https://www.expat-dakar.com/machines-a-laver","MACHINE À LAVER CANDY 10 KG 1400TOUR/MIN","Neuf","Plateau,
                                                                                Dakar","310 000 F Cfa","MACHINE À LAVER CANDY 10 KG 1400TOUR/MIN
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        17. déc. '24, 16:44
                                    
                    310 000 F Cfa
                        
                        776096472
                    
                        776096472","https://www.expat-dakar.com/annonce/machine-a-laver-candy-10-kg-1400tourmin-5536522","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8631b24168888753c081df93e41d35f1/-/horizon-files-prod/ed/picture/q6xx2066/874def44b5833274fd19cb9ffe76abef93fa596e.jpg"
"1738238163-10","https://www.expat-dakar.com/machines-a-laver","MACHINE A LAVER CANDY 9KG 1200 TOUR/MIN CS1292DE WATH","Neuf","Plateau,
                                                                                Dakar","254 000 F Cfa","MACHINE A LAVER CANDY 9KG 1200 TOUR/MIN CS1292DE WATH
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        17. déc. '24, 16:44
                                    
                    254 000 F Cfa
                        
                        776096472
                    
                        776096472","https://www.expat-dakar.com/annonce/machine-a-laver-candy-9kg-1200-tourmin-cs1292de-wath-5536558","https://i.roamcdn.net/hz/ed/listing-thumb-543w/85f42f02e01965c5bed5d1bf6067a9c3/-/horizon-files-prod/ed/picture/qkrrd9gz/b0d5e94b225242bc5263f0ad5bf2e05e19fec351.jpg"
